uniform_1 uniform_2 uniform_10 uniform_100 exp_1 exp_2 exp_10 exp_100 CL_1 CL_2 CL_10 CL_100
0.0541692 0.667848 0.303232 0.47014 0.428244 0.700224 0.751824 1.00321 0.142872 2.96089 -2.09202 5.38591
0.176195 0.334011 0.528252 0.544924 0.669559 1.79121 0.739943 0.926318 0.37328 1.2155 0.0468598 -0.935429
0.3334 0.309308 0.388093 0.502568 0.558417 0.152883 0.623092 1.10422 -0.951779 -0.582694 -0.682615 -3.25482
0.910645 0.545979 0.520255 0.498634 0.261271 2.00462 0.713334 1.0449 2.08825 2.25254 0.749116 -0.105699
0.96236 0.443322 0.419802 0.480951 1.71866 0.494153 0.749639 1.21896 0.374146 -0.420588 -16.9177 0.527344
0.419963 0.144968 0.623252 0.463729 2.18426 0.587627 0.723833 1.06738 -0.942313 3.5673 -2.55425 -3.42651
0.800032 0.238375 0.690781 0.491916 0.375041 0.700538 0.937561 1.15865 0.951248 0.633971 2.23862 0.202853
0.48314 0.339098 0.559854 0.489253 2.40229 1.09857 1.21899 1.01369 0.865443 -1.0416 -0.0160423 -0.549462
0.153329 0.577806 0.462463 0.51056 1.56353 0.71921 0.719277 1.05574 -2.09046 -2.3088 1.75955 -0.138001
0.00692787 0.540277 0.531174 0.531967 0.59374 0.70364 1.35387 0.97289 -0.731609 6.45384 -0.618463 -7.94645
0.991496 0.471698 0.373689 0.505827 2.27043 0.280698 1.0154 1.03272 -0.0961278 -0.00495704 -0.0386835 -0.623893
0.499037 0.295746 0.520416 0.484557 1.24593 0.498471 0.537387 0.983869 -0.506165 -2.65513 2.4142 0.356967
0.923041 0.695056 0.429696 0.519948 2.24813 0.504288 0.859894 1.03125 -2.03174 -0.0423435 -1.13756 0.123458
0.653308 0.842192 0.594165 0.535903 0.131507 0.204777 1.52844 1.30958 2.06776 -0.132206 2.60511 -1.69406
0.123957 0.250252 0.500323 0.508149 0.707077 0.717318 1.62322 0.887969 0.0509455 0.0497315 2.66971 1.19102
0.833724 0.794558 0.474699 0.426079 4.14778 1.35516 0.791273 1.09747 -0.33205 0.202496 1.58554 -0.133041
0.386079 0.59375 0.54752 0.465701 0.674236 2.722 0.635963 1.15366 0.0809012 -0.622313 0.711508 1.18759
0.258124 0.575939 0.361056 0.516716 2.12992 0.808539 0.951657 0.82307 -3.73985 -0.318557 -0.838285 -0.977844
0.469396 0.516422 0.328814 0.481263 2.67763 0.510014 1.01527 1.04513 -0.612973 0.0981957 0.593634 -2.56479
0.3384 0.553275 0.589994 0.556417 2.81731 0.919046 1.10098 1.18656 0.272297 0.743173 -0.627939 0.58541
0.130841 0.580204 0.52007 0.525749 1.14276 0.750786 1.58472 1.0593 0.772663 63.9937 -0.843356 1.60318
0.964959 0.545977 0.379292 0.47504 0.275091 0.345057 1.11395 0.973682 -2.06318 0.844944 -0.721855 3.16316
0.608655 0.522463 0.589843 0.505137 0.679094 0.86347 0.987565 0.824837 2.20083 4.17739 -2.16333 -4.63423
0.776992 0.474439 0.445737 0.514649 2.91724 1.54822 1.21949 0.966098 -1.86007 -4.4478 -3.75196 -0.452886
0.897367 0.546216 0.364834 0.530859 0.872155 2.27722 1.16769 0.983963 -2.25209 -1.00654 0.284367 -3.36126
0.528242 0.639014 0.435843 0.486858 0.237705 0.512541 0.671968 0.942019 0.297898 2.32073 3.31498 -1.00833
0.414959 0.313082 0.464728 0.548188 0.944015 1.00856 1.19048 1.06336 1.09079 0.883394 -2.11689 -1.14617
0.663564 0.479156 0.540805 0.541918 0.429524 0.756499 0.916502 1.04951 3.05848 -1.78026 0.207023 0.164995
0.671169 0.335768 0.348002 0.52048 0.19298 1.45379 0.525948 0.837198 1.78163 0.0926023 1.36314 -1.05901
0.270874 0.775143 0.506894 0.567547 0.823909 1.29999 0.560171 1.09048 2.22758 -0.189538 0.52569 0.952114
0.752938 0.794794 0.336402 0.534092 1.87587 1.51769 0.840647 0.939938 0.0403259 0.0451111 -0.417991 -2.78879
0.743019 0.547097 0.548028 0.502708 3.34338 0.137838 1.60507 0.972469 5.294 -1.85338 1.59145 -15.941
0.026992 0.498776 0.388658 0.544386 1.05682 1.10429 0.968977 0.992169 -3.43515 2.33564 -0.0205674 -13.666
0.678047 0.742193 0.545642 0.540189 1.55626 0.168468 1.29583 0.96034 -2.82879 1.09255 -2.11399 7.52061
0.836892 0.747178 0.473922 0.518697 0.230092 0.967834 0.948787 1.04388 -1.13723 0.0384536 0.84233 1.06579
0.912876 0.461799 0.325117 0.513741 0.181318 2.16589 0.641875 1.13796 45.1074 0.970766 1.76308 1.13952
0.632536 0.683411 0.569469 0.489915 0.62847 0.340873 0.954114 1.09005 0.706381 35.8031 -1.09418 -4.87916
0.758966 0.290068 0.535382 0.456233 1.62828 0.51402 1.15137 0.908625 1.82845 -0.575507 -4.74117 0.0187116
0.402686 0.851024 0.527691 0.468086 0.414506 0.831061 0.628289 1.05616 -5.33992 -0.0799989 -0.250298 3.01329
0.991301 0.554727 0.459973 0.505601 1.32492 1.31463 1.34205 0.931169 -0.655581 0.356845 -2.01678 -0.816943
0.946051 0.455873 0.605057 0.501724 1.24996 0.661514 0.717298 0.992306 -10.7973 -1.69808 1.89528 1.62268
0.709972 0.686827 0.34784 0.481152 0.269362 0.105282 0.978413 1.03354 0.114876 0.174482 -0.251523 -3.27031
0.519022 0.672 0.417812 0.481966 0.958343 0.535217 0.858965 0.92186 -0.328343 -0.0820314 -3.40281 -1.89249
0.273221 0.748525 0.494416 0.470525 0.494133 0.191458 1.34663 1.0252 1.49815 1.47649 0.232485 0.752028
0.694147 0.355591 0.61872 0.512611 0.456079 0.693234 1.0417 1.07341 0.508982 -1.09666 -2.69228 0.527512
0.0221421 0.239586 0.498786 0.542111 0.311487 0.459645 1.23167 0.924178 2754.42 -0.590586 -0.751498 -0.636194
0.923835 0.424886 0.564594 0.518171 0.71503 0.844804 1.52179 0.905885 -0.522476 4.70563 0.0217357 0.786397
0.815601 0.556285 0.651881 0.499591 1.34742 0.468211 1.19157 1.17967 -0.476958 -0.595174 -66.5686 -1.22267
0.546853 0.404672 0.417593 0.518435 0.671089 0.766042 0.787602 0.981913 -6.72856 2.0799 -0.64189 -7.26891
0.292362 0.291404 0.445849 0.523791 0.563903 1.36144 0.936388 1.09772 1.52041 -0.149784 -0.711629 3.95387
0.366532 0.443842 0.523417 0.478488 0.0762868 1.04432 0.813816 1.13441 2.84087 -0.646713 -0.949062 -0.156689
0.0441421 0.473584 0.446957 0.507201 0.529717 0.555383 1.68073 0.952588 -2.36858 0.15743 0.908186 0.788056
0.334104 0.315886 0.501998 0.548233 0.0835936 1.8939 1.20323 1.17804 -0.273494 2.82734 0.110509 -0.308784
0.824415 0.588204 0.626613 0.494696 0.161049 0.151387 0.914295 0.858481 2.6325 -0.393296 -30.3146 1.52224
0.432055 0.602724 0.443449 0.510409 0.548642 0.770522 1.22927 1.07118 -0.434244 -0.999436 0.392276 -0.74573
0.922517 0.415326 0.470809 0.511518 1.49237 0.305121 0.79159 0.925995 2.12951 2.27166 -1.44752 4.73563
0.458782 0.818495 0.475673 0.555607 0.972724 0.739187 1.03112 1.0236 0.808653 75.3609 -0.354176 -1.43535
0.257032 0.272837 0.424992 0.529329 2.13487 1.52104 0.706109 1.03397 -0.81543 1.55381 -0.793485 -0.29332
0.802274 0.782351 0.481446 0.533272 0.198344 1.11894 1.0986 1.09271 1.70211 19.7898 -0.403203 -1.26814
0.573796 0.94918 0.556977 0.494875 0.0502326 0.498842 0.947074 0.967106 -0.558473 -0.0255317 0.736068 -1.40468
0.111773 0.693637 0.431029 0.525058 1.63657 1.57157 0.498157 0.984104 -0.450162 0.361022 9.27477 -0.213469
0.446681 0.649679 0.454956 0.478969 0.230346 1.47784 0.761808 0.934185 5.56171 0.242251 -1.92648 2.42704
0.676717 0.497887 0.490516 0.532603 3.40722 1.34453 0.786355 0.926487 0.615811 -0.827746 5.03471 60.2197
0.0500228 0.448435 0.70473 0.484313 4.07765 0.125982 0.725997 1.14861 0.407776 -1.13965 2.87864 0.252531
0.209089 0.440809 0.471674 0.445526 0.0488071 0.130046 0.828536 0.949997 19.173 5.10193 -0.56832 -1.82745
0.588024 0.253107 0.574509 0.540205 0.545496 0.428601 1.39903 0.93493 -44.3168 -0.295848 2.50529 -1.76113
0.149605 0.420496 0.704595 0.477803 1.14999 0.17446 1.28299 1.04399 1.5674 -0.349732 19.718 18.6402
0.724574 0.753566 0.577604 0.502821 2.30025 0.609251 0.91369 0.903022 10.0592 -1.10172 -35.097 -5.4365
0.343101 0.456982 0.619334 0.523715 0.206788 0.977203 1.07403 1.10029 -0.18166 2.62366 -2.54658 -0.175773
0.904469 0.564734 0.538711 0.508218 0.511802 1.28831 0.934814 1.11735 -0.434806 -0.555672 -0.728848 0.442991
0.463856 0.507036 0.600027 0.542816 0.0660947 3.50627 0.912061 0.875035 0.654769 33.1451 1.78693 0.145418
0.503517 0.755449 0.345842 0.517713 1.52126 0.370084 0.675286 0.914438 0.553758 -0.166355 -1.7719 -1.18305
0.631589 0.485139 0.563121 0.515041 1.30339 0.288443 0.55523 1.17829 -2.59239 -1.16082 2.72986 2.09317
0.421397 0.312998 0.355131 0.510954 0.306039 1.59399 0.730836 1.00634 2.4632 5.94973 -13.3912 -3.59653
0.194085 0.856277 0.496284 0.516365 0.584476 0.118883 0.835493 1.00584 0.226276 8.30038 -0.394294 -0.503139
0.343797 0.693241 0.583772 0.472479 0.541589 0.788935 0.923369 0.982652 7.81428 23.7001 -0.10535 0.836125
0.290402 0.477209 0.487114 0.486217 2.65257 0.573598 0.435332 1.05925 -0.216248 0.428944 23.961 -0.038914
0.48815 0.947389 0.642693 0.538095 0.628645 1.84601 0.968461 1.22138 3.67941 -1.54547 3.28871 2.01054
0.227428 0.618699 0.631116 0.530016 1.66089 2.48768 0.631356 0.940186 0.660244 -0.450198 -0.311033 1.19005
0.210768 0.533073 0.584537 0.558366 0.737306 1.0229 1.91615 1.04773 6.50358 0.414561 -1.1625 3.96875
0.647704 0.827694 0.611348 0.418581 0.251639 1.17837 0.792453 1.00532 0.646234 0.0608939 -0.779747 0.669635
0.390339 0.838909 0.677137 0.529933 0.76869 0.527449 0.75384 1.05444 -0.463914 2.78948 -1.43096 1.10411
0.809704 0.490988 0.396449 0.4931 3.57935 0.646191 1.74481 1.24098 24.3031 2.09499 -1.83772 0.414893
0.0449471 0.134229 0.370631 0.485702 0.137562 0.668097 1.13902 0.993384 -0.333759 -0.964237 0.746437 1.2138
0.728374 0.391305 0.568071 0.496381 0.761799 0.433251 0.85738 0.890896 -2.46017 3.37404 2.50035 0.990598
0.0468195 0.686126 0.532434 0.538313 0.996644 1.09397 0.980083 0.98495 -1.94719 32.6127 0.87873 1.30218
0.520311 0.529569 0.447848 0.500497 0.255945 0.549048 0.799297 0.873513 0.308237 0.0602296 -14.1814 -1.70203
0.133452 0.0290233 0.652261 0.503378 1.14448 1.22655 1.12055 1.08031 -5.96928 73.2825 0.719879 186.752
0.5033 0.83589 0.588228 0.492314 0.141251 2.22134 0.628965 0.970865 0.823072 -0.862157 1.89873 2.28951
0.276847 0.607928 0.734286 0.504499 0.428762 1.79117 0.71096 1.0701 -0.812954 0.965537 -40.4079 1.40501
0.666189 0.53645 0.51243 0.471946 1.09171 0.568001 0.65726 1.02211 -23.5189 0.0379167 1.8564 0.719535
0.747521 0.49042 0.647176 0.486832 1.50436 1.85714 1.27644 1.09143 0.402811 0.805481 0.726153 -1.55149
0.425828 0.548462 0.584219 0.529775 0.11084 0.763442 0.708325 1.14986 -4.45608 1.6757 0.168475 2.40733
0.220253 0.522804 0.503411 0.524481 2.58101 0.794184 1.00897 0.948067 6.09838 0.18844 -3.39026 0.310362
0.796057 0.7342 0.540434 0.441998 0.955442 0.888918 0.914307 1.10904 1.23124 0.187634 1.21318 -0.386583
0.421833 0.524248 0.493229 0.50617 1.50564 1.22422 0.475802 1.02922 -0.458939 0.929031 -0.874979 -0.384107
0.441218 0.167364 0.587719 0.525466 0.460855 0.901477 1.65674 1.16675 13.8985 0.120942 1.33926 27.0522
0.370671 0.63057 0.394471 0.475807 0.580329 0.933484 0.682126 1.03256 0.578229 -0.377344 -0.891768 11.0316
0.602285 0.296345 0.509393 0.502398 0.391989 1.63098 1.0109 1.07105 -4.86332 0.805387 0.269545 -4.39238
0.878618 0.324893 0.464039 0.510534 0.0949434 0.374858 1.08357 1.11532 1.21643 -6.30303 -0.542078 1.34199
0.697858 0.830218 0.652368 0.498346 0.701301 0.844358 0.692118 1.04055 -0.71504 -0.704103 0.873851 0.407037
0.41905 0.54396 0.480416 0.483704 1.08921 0.712987 0.886878 0.973834 0.438032 0.521247 3.73765 -3.96888
0.889553 0.788895 0.344671 0.510707 1.35654 1.09254 0.709442 1.00851 -0.107738 -0.438032 0.392538 -0.505876
0.560441 0.336286 0.481658 0.473375 4.74722 0.875771 1.6938 1.08547 -3.59281 -4.8987 -1.71261 -0.597167
0.623425 0.69049 0.589121 0.474352 0.498096 0.455292 1.45197 1.07151 -1.82596 1.92098 2.44104 -1.28653
0.188165 0.219827 0.578424 0.548022 0.321499 0.964225 1.64942 1.10733 1.36671 0.0549106 -0.921628 -14.3799
0.255769 0.274389 0.426119 0.549807 5.43017 0.743433 2.06918 1.03294 -1.43912 1.12841 -0.156574 -1.13799
0.906992 0.563134 0.4886 0.494671 0.0746485 0.95029 1.08573 1.07414 1.90476 0.391978 -2.39206 0.114727
0.735912 0.262795 0.308656 0.496924 1.15022 2.00658 1.2996 1.1438 -0.379915 -184.81 -1.4356 0.695699
0.761277 0.105887 0.386741 0.49364 1.45891 0.288251 0.634983 1.04067 -1.62972 0.137683 0.0538773 0.519236
0.0793377 0.110753 0.38052 0.434646 0.0322964 0.23124 0.729445 0.939478 -0.864006 0.779129 -0.1747 3.41834
0.926438 0.81726 0.512929 0.456351 1.42918 0.802849 1.43497 1.01237 -4.65241 -1.07722 -0.981813 -7.54102
0.888151 0.618786 0.554102 0.499209 0.0654204 1.38762 0.714749 1.09894 0.536372 6.54401 -5.2319 0.339404
0.268154 0.579352 0.463255 0.45031 0.312473 0.143653 0.895803 1.05477 7.72753 1.17321 0.674345 -2.06626
0.984322 0.53477 0.498434 0.509705 0.24469 1.63295 0.676801 1.1765 0.0941991 -0.447761 0.483498 0.556097
0.960362 0.735009 0.589794 0.499818 0.758972 1.03484 0.958166 0.890855 1.91772 0.779666 0.74832 -0.260249
0.913452 0.594147 0.485108 0.495828 0.0166331 1.14051 0.985963 1.12155 1.06249 -1.32818 2.38885 1.82002
0.394627 0.476529 0.525849 0.515812 0.909764 0.453505 0.948286 0.912609 -2.81539 3.45406 3.06908 -0.78949
0.52643 0.458001 0.259644 0.500184 1.69594 1.30335 1.17279 1.1027 0.487543 -0.0529601 0.204359 0.421907
0.668697 0.675493 0.583771 0.460714 0.353138 2.21401 1.00015 1.10299 0.186659 -2.06457 1.40876 1.76845
0.636409 0.518047 0.599703 0.473431 0.999653 0.331181 1.15808 0.995766 -1.10308 0.915164 -6.25138 0.419204
0.638865 0.402862 0.528107 0.478586 0.853428 0.77218 0.976547 0.969885 -20055.7 -167.933 -0.949529 -1.2253
0.992228 0.337923 0.513909 0.491449 1.69884 0.508079 0.832033 0.943886 1.15499 -5.34048 0.367353 -0.0684647
0.669336 0.455335 0.419214 0.514392 1.08911 0.874121 0.848402 1.01424 0.526018 -5.79002 -0.329367 0.716381
0.692633 0.887088 0.444912 0.525819 1.00877 0.77799 0.983611 0.922332 -1.13642 -3.74644 0.965651 1.58373
0.666305 0.614035 0.436131 0.480065 3.34416 0.902883 0.840728 0.880084 -0.473783 -0.307223 -1.76462 13.5957
0.234149 0.147873 0.465657 0.516743 0.330542 0.794908 0.745163 1.2012 0.783261 -3.75311 -1.08098 -0.761811
0.614443 0.680188 0.638309 0.522151 0.102552 0.466133 0.7475 1.00227 0.788682 0.348764 -0.230497 0.698051
0.788727 0.536401 0.474695 0.509366 0.642535 1.88391 0.961937 0.848009 0.149767 3.1245 -83.7415 -0.760927
0.239442 0.551032 0.51462 0.487565 0.752673 1.92469 0.849977 1.08685 3.3241 -1.40701 2.1181 0.0562845
0.896244 0.297356 0.587919 0.51723 0.150113 0.270074 0.706425 1.11816 0.895221 -2.22556 4.89122 -5.25883
0.0864251 0.520854 0.574326 0.506694 0.116143 0.841582 1.18119 0.932947 -26.7808 0.27822 5.59593 -1.94725
0.122669 0.683797 0.380719 0.528705 0.436306 0.249614 0.739217 1.0023 1.54196 0.415218 -7.80832 0.957006
0.448586 0.513452 0.572355 0.488153 1.9041 0.944218 0.88212 1.05545 -1.76099 8.87396 7.84276 3.00266
0.460502 0.603476 0.489712 0.417994 0.209269 1.64923 0.89386 0.968434 -1.04071 0.841981 2.18422 1.19524
0.021623 0.414102 0.493532 0.496613 0.0983644 0.275449 0.960841 1.11116 -2.62226 -4.74005 0.436204 0.807539
0.33696 0.523936 0.376806 0.524343 1.131 0.584731 0.615528 0.901114 -1.35748 -0.650278 -0.99546 0.68117
0.0814919 0.821393 0.605448 0.482294 0.646217 0.161828 0.922841 0.889511 1.21264 0.296812 1.12707 1.11904
0.719836 0.650934 0.542511 0.498296 0.205844 0.991158 1.14674 1.11405 -4.49991 4.17107 1.47709 0.488486
0.546149 0.0444003 0.603823 0.522506 4.42373 1.41119 0.989413 1.17254 0.801402 0.135105 -6.53289 2.74396
0.223262 0.42593 0.702955 0.50889 0.940709 0.642915 0.524919 0.752928 -4.48728 -0.993601 -0.417125 -1.44287
0.586139 0.439826 0.635346 0.530528 0.241891 0.201841 1.33133 0.874323 -0.378363 0.624246 0.111331 -0.45123
0.739317 0.481221 0.507984 0.496184 1.30428 0.911843 0.825322 1.03055 -3.14627 -0.0261766 -0.464949 -1.40467
0.419024 0.719579 0.469432 0.527838 0.117205 1.56588 0.938222 1.13827 -8.24581 0.594359 -0.00612209 -12.1353
0.537492 0.149915 0.483502 0.495143 0.405256 1.31469 1.04617 1.17247 -0.400843 0.926487 -1.8825 -0.919117
0.250585 0.650943 0.629451 0.511886 0.266968 1.00324 0.656758 1.24118 -0.74674 -1.12337 -0.567758 3.33645
0.498336 0.712636 0.385974 0.561005 0.85576 1.16406 1.18751 1.00114 -0.12979 -4.83953 0.807896 0.0340119
0.662355 0.464977 0.36438 0.489246 1.71552 0.761765 0.588271 0.893432 1.61982 -3.5265 1.02686 -0.91626
0.786751 0.568408 0.592765 0.518244 0.040234 0.680718 0.61948 0.928435 -2.30549 0.712961 1.29524 -0.387107
0.901972 0.627649 0.514442 0.481507 0.0345155 1.06663 0.462557 1.06529 -4.62067 -0.0604554 1.02694 0.19452
0.32844 0.415575 0.5165 0.429446 2.26894 1.32327 1.00273 1.00322 -0.246496 -0.125592 0.96552 0.976285
0.512456 0.338821 0.535813 0.484985 1.24117 1.47673 1.10576 0.980275 -1.23639 0.368636 0.664557 -1.16079
0.251134 0.192024 0.629159 0.508645 0.63907 0.381199 1.4275 0.874839 0.964808 -0.960147 -0.477699 0.205807
0.974577 0.790422 0.282735 0.466821 3.72303 0.495601 1.36736 1.22941 0.376909 -19.5614 3.15885 -2.32327
0.308435 0.668498 0.432375 0.491125 0.55861 2.53053 1.08104 1.07199 -0.24273 -0.00870684 2.53921 -0.0569193
0.301432 0.565488 0.462274 0.455006 0.250835 1.07203 0.848527 0.82607 0.421696 -2.23906 0.33282 0.576978
0.310328 0.703941 0.666893 0.498646 1.48741 1.2052 1.53416 0.922765 0.228284 0.287978 -1.59448 0.701673
0.48202 0.163327 0.425215 0.48408 0.579699 0.89153 1.01337 0.819745 5.50576 -0.593671 -0.2599 0.987737
0.00289174 0.328017 0.492671 0.530287 1.14531 0.829335 0.865307 0.907502 0.332858 -0.0979684 140.915 0.0812301
0.184174 0.479694 0.549479 0.478007 0.535861 0.647943 0.846633 0.928996 11.3641 -3.42292 -2.64301 -9.29481
0.331534 0.363491 0.546617 0.520924 3.6443 1.34712 1.06233 0.920032 0.18165 -3.45551 -0.642343 -0.0995754
0.925072 0.563412 0.610115 0.474748 1.19625 1.44801 1.42734 0.862598 8.41687 2.88494 30.4564 0.566312
0.603794 0.603094 0.566769 0.515538 0.412585 1.80414 1.2179 0.92137 -5.61657 6.33055 -2.93188 -0.985631
0.325173 0.297789 0.512569 0.483152 0.825267 0.719128 0.774045 1.19994 0.667972 0.504803 5.0133 0.254782
0.884923 0.519177 0.399438 0.513634 0.441379 0.727442 1.63283 0.889865 -1.97474 0.880226 -0.320087 0.433513
0.0540987 0.279073 0.517907 0.486721 0.595503 0.330616 1.01196 0.949119 0.598305 0.377759 0.715939 -2.3877
0.647993 0.782271 0.331806 0.596695 0.0364808 1.6729 1.13301 1.09326 0.32695 -3.72807 0.788668 1.57579
0.974019 0.643886 0.392217 0.528256 0.882858 0.75652 0.646063 0.962313 -1.04136 0.972023 -0.458006 -4.96097
0.297856 0.360341 0.501273 0.536607 0.668095 1.72833 1.30971 0.915469 -0.142189 -0.910533 0.519005 -0.627072
0.670296 0.272623 0.422099 0.468298 1.84841 0.311341 1.41166 0.987037 0.436336 -0.0297132 0.281934 1.24848
0.244394 0.49055 0.75316 0.476349 0.533494 0.61763 0.488642 1.11764 0.805619 0.590458 6.90695 -0.720212
0.164642 0.257709 0.522764 0.500521 0.874105 0.606266 1.64592 0.901499 0.995632 0.633686 1.57126 1.00026
0.920093 0.532325 0.568085 0.43259 0.336362 0.455813 0.838788 1.08924 -1.61356 -4.99869 -0.00309095 -2.6189
0.185192 0.673332 0.500036 0.480643 0.467539 1.2912 1.06508 0.993084 -2.28057 -57.6315 0.478666 -0.609689
0.0821085 0.528013 0.410759 0.515592 0.0988188 0.501093 0.855101 0.902392 70.9019 -1.19192 0.867316 -1.65241
0.104597 0.53466 0.431721 0.536623 0.0408264 0.175052 1.00953 1.02214 0.750805 -1.15838 8.50593 0.274759
0.798994 0.752431 0.581004 0.514804 0.538318 0.152909 1.05618 1.05893 -0.11924 0.589006 1.16957 -2.57702
0.76212 0.639987 0.527915 0.492067 2.56891 0.555069 0.849853 1.10436 -9.56335 6.81183 1.29685 6.58387
0.550631 0.856772 0.498729 0.463121 0.0514228 0.329519 1.20151 1.16213 0.569621 2.72186 -3.00747 -5.59139
0.866446 0.570674 0.357036 0.51956 0.226669 1.45699 0.786157 1.03327 0.0976662 -1.08425 0.534757 0.620521
0.574489 0.815977 0.440079 0.487938 0.939556 1.72975 0.948398 0.902626 -1.0857 -0.0767976 -0.279895 3.08249
0.741681 0.734559 0.359562 0.467053 0.754336 0.803491 0.9533 1.04257 1.18409 2.0479 1.4089 -0.403256
0.95072 0.16043 0.559816 0.521658 0.580046 1.05308 0.644208 0.88978 0.0758644 -0.00647874 -0.325965 -1.43547
0.0991433 0.216942 0.514322 0.511373 0.943501 1.94741 1.35592 0.951361 0.179831 0.32732 0.393284 3.25932
0.585588 0.408328 0.665398 0.527499 0.433047 1.09411 0.612137 0.947983 -1.18461 -0.340167 0.33302 1.00488
0.316897 0.866348 0.545605 0.554448 0.285936 0.878624 0.819465 0.950016 0.33012 -8.17403 -9.26524 1.58218
0.0940039 0.417202 0.429221 0.504768 0.816593 1.00581 0.886593 0.878426 -0.594498 3.01609 -0.255284 -5.70833
0.145427 0.741505 0.461432 0.512137 0.477898 0.84587 1.40021 0.963515 -0.00607297 1.34135 -5.97536 -0.696873
0.689187 0.787778 0.385846 0.477865 1.36412 0.172624 0.575743 0.821611 -0.343102 0.942855 -3.02138 5.38622
0.590379 0.181922 0.592977 0.510052 0.356378 0.517664 1.7873 0.984267 -1.33715 0.0097721 -0.56325 -0.563036
0.383194 0.233151 0.477782 0.512803 0.391615 0.51418 1.26339 1.19442 -0.0984089 -0.580064 3.38821 -1.45575
0.339544 0.432931 0.560106 0.502709 0.833185 1.28138 0.529766 0.987876 1.29575 0.98395 -0.386655 0.090578
